disaster_number,state,incident_type,declaration_title,incident_begin_date,incident_end_date,designated_area,incident_month,incident_duration,incident_begin_year,region,season,season_number,programs_declared,region_number
660,IL,Tornado,Severe Storms & Tornadoes,1982-06-05,1982-06-05,Williamson (County),6,1,1982,Midwest,Summer,2,2,3
661,CT,Flood,Severe Storms & Flooding,1982-06-14,1982-06-14,"Fairfield (County)(in PMSA 1160,1930,5760,8040)",6,1,1982,Northeast,Summer,2,2,1
662,OK,Flood,Severe Storms & Flooding,1982-06-18,1982-06-18,Washita (County),6,1,1982,Southwest,Summer,2,1,5
663,KS,Flood,Severe Storms And Flooding,1982-06-28,1982-06-28,Statewide,6,1,1982,Midwest,Summer,2,3,3
664,FL,Flood,Severe Storms And Flooding,1982-07-07,1982-07-07,DeSoto (County),7,1,1982,Southeast,Summer,2,1,2
665,CO,Flood,Flash Flood Due To Dam Failure,1982-07-22,1982-07-22,Larimer (County),7,1,1982,West,Summer,2,2,4
666,TN,Flood,Severe Storms And Flooding,1982-08-24,1982-08-24,Smith (County),8,1,1982,Southeast,Summer,2,2,2
667,MO,Flood,Severe Storms & Flooding,1982-08-26,1982-08-26,Clay (County),8,1,1982,Midwest,Summer,2,1,3
668,TN,Flood,Severe Storms & Flooding,1982-09-22,1982-09-22,Gibson (County),9,1,1982,Southeast,Autumn,3,1,2
669,CA,Flood,Levee Break,1982-08-23,1982-09-13,San Joaquin (County),8,21,1982,West,Summer,2,1,4
670,KY,Flood,Flash Flooding,1982-09-29,1982-09-29,Letcher (County),9,1,1982,Southeast,Autumn,3,1,2
671,HI,Typhoon,Typhoon Iwa,1982-11-27,1982-11-27,Honolulu (County),11,1,1982,West,Autumn,3,2,4
672,MO,Flood,Severe Storms And Flooding,1982-12-10,1982-12-10,Lincoln (County),12,1,1982,Midwest,Winter,4,1,3
674,IL,Severe Storm(s),"Severe Storms, Tornadoes & Flooding",1982-12-13,1982-12-13,Jersey (County),12,1,1982,Midwest,Winter,4,2,3
673,AR,Severe Storm(s),"Severe Storms, Tornadoes & Flooding",1982-12-13,1982-12-13,Garland (County),12,1,1982,Southeast,Winter,4,1,2
