disaster_number,state,incident_type,declaration_title,incident_begin_date,incident_end_date,designated_area,incident_month,incident_duration,incident_begin_year,region,season,season_number,programs_declared,region_number
1117,KY,Severe Storm(s),"Severe Storms, Flooding And Tornadoes",1996-05-28,1996-05-28,Bullitt (County),5,1,1996,Southeast,Spring,1,3,2
1118,ND,Severe Storm(s),"Severe Storms,Flooding, &  Ice Jams",1996-03-12,1996-06-21,Cass (County),3,101,1996,Midwest,Spring,1,1,3
1119,AK,Fire,Wildland Fires,1996-06-02,1996-06-15,Matanuska-Susitna (Borough),6,13,1996,West,Summer,2,2,4
1120,PA,Flood,"Flooding, Severe Storms",1996-06-12,1996-06-19,Bucks (County),6,7,1996,Northeast,Summer,2,1,1
1122,OH,Flood,Flooding,1996-05-02,1996-06-24,Hocking (County),5,53,1996,Midwest,Spring,1,1,3
1121,IA,Severe Storm(s),Severe Storms And Flooding,1996-05-08,1996-05-28,Lee (County),5,20,1996,Midwest,Spring,1,1,3
1123,NE,Severe Storm(s),Severe Storms And Tornadoes,1996-05-08,1996-05-28,Nemaha (County),5,20,1996,Midwest,Spring,1,1,3
1124,VT,Flood,Extreme Rainfall And Flooding,1996-06-12,1996-06-14,Windham (County),6,2,1996,Northeast,Summer,2,1,1
1125,IN,Severe Storm(s),Severe Storms And Flooding,1996-04-28,1996-05-25,Knox (County),4,27,1996,Midwest,Spring,1,1,3
1127,NC,Hurricane,Hurricane Bertha,1996-07-10,1996-07-13,Columbus (County),7,3,1996,Southeast,Summer,2,1,2
1128,MI,Severe Storm(s),Severe Storms And Flooding,1996-06-21,1996-07-01,Bay (County),6,10,1996,Midwest,Summer,2,2,3
1129,IL,Severe Storm(s),Severe Storms And Flooding,1996-07-17,1996-08-07,Will (County),7,21,1996,Midwest,Summer,2,2,3
1130,PA,Flood,"Severe Storms, Flooding, And Tornadoes",1996-07-19,1996-07-19,Venango (County),7,1,1996,Northeast,Summer,2,2,1
1131,WI,Flood,"Severe Storms, Flooding And Tornadoes",1996-07-17,1996-07-22,Green (County),7,5,1996,Midwest,Summer,2,1,3
1132,WV,Fire,"Heavy Rains, High Winds, Flooding, And Slides",1996-07-18,1996-07-31,Clay (County),7,13,1996,Southeast,Summer,2,2,2
1133,IA,Severe Storm(s),"Severe Storms, And Flooding",1996-06-15,1996-06-30,Monona (County),6,15,1996,Midwest,Summer,2,1,3
1135,VA,Hurricane,Hurricane Fran And Associated Severe Storm Cond,1996-09-05,1996-09-23,Bedford (County),9,18,1996,Southeast,Autumn,3,1,2
1134,NC,Hurricane,Hurricane Fran,1996-09-05,1996-10-21,Caswell (County),9,46,1996,Southeast,Autumn,3,2,2
1137,WV,Severe Storm(s),"Hurricane Fran And Associated Heavy Rains,Flooding Highwind",1996-09-05,1996-09-08,Berkeley (County),9,3,1996,Southeast,Autumn,3,2,2
1138,PA,Flood,Flooding Associated With Tropical Depression Fran,1996-09-06,1996-09-08,Huntingdon (County),9,2,1996,Northeast,Autumn,3,2,1
1139,MD,Hurricane,Severe Storms And Flooding Assoc With Tropical Storm Fran,1996-09-06,1996-09-09,Frederick (County),9,3,1996,Northeast,Autumn,3,1,1
1140,SC,Flood,Severe Winds And Flooding Assoc With Hurricane Fran,1996-09-05,1996-10-15,Dillon (County),9,40,1996,Southeast,Autumn,3,1,2
1141,FL,Severe Storm(s),Tropical Storm Josephine,1996-10-07,1996-10-21,Hernando (County),10,14,1996,Southeast,Autumn,3,1,2
1142,MA,Flood,Extreme Weather Conditons And Flooding,1996-10-20,1996-10-25,"Essex (County)(in PMSA 1120,4160,7090)",10,5,1996,Northeast,Autumn,3,2,1
1143,ME,Flood,Severe Storms And Flooding,1996-10-20,1996-10-26,"York (County)(in MSA 6400,6450)",10,6,1996,Northeast,Autumn,3,2,1
1144,NH,Flood,Fall Northeaster Rainstorm,1996-10-20,1996-10-23,"Rockingham (County)(in (P)MSA 4160,4760,6450)",10,3,1996,Northeast,Autumn,3,2,1
1146,NY,Severe Storm(s),"Severe Storms, Flooding, Heavy Rains, High Winds",1996-10-19,1996-10-20,New York (County),10,1,1996,Northeast,Autumn,3,1,1
1145,NJ,Severe Storm(s),Severe Storms And Flooding,1996-10-18,1996-10-23,Hudson (County),10,5,1996,Northeast,Autumn,3,1,1
1147,HI,Flood,"Prolonged And Heavy Rains, High Surf,Flooding,Land/Mud Slide",1996-11-05,1996-12-09,Honolulu (County),11,34,1996,West,Autumn,3,1,4
1148,NY,Severe Storm(s),"Severe Storms High Winds, Rain And Flooding",1996-11-08,1996-11-15,Franklin (County),11,7,1996,Northeast,Autumn,3,1,1
1149,OR,Flood,"Flooding, Land, Mud Slides, High Winds,Severe Storms",1996-11-17,1996-12-11,Lane (County),11,24,1996,West,Autumn,3,1,4
1150,PA,Flood,"Severe Thunderstorms, High Winds,Rain, Flooding",1996-11-08,1996-11-15,Tioga (County),11,7,1996,Northeast,Autumn,3,2,1
1153,NV,Severe Storm(s),"Severe Storms, Flooding, Mud And Landslides",1996-12-20,1997-01-17,Lyon (County),12,28,1996,West,Winter,4,2,4
1155,CA,Severe Storm(s),"Severe Storms, Flooding, Mud And Landslides",1996-12-28,1997-04-01,Contra Costa (County),12,94,1996,West,Winter,4,2,4
1154,ID,Severe Storm(s),"Severe Storms, Flooding, Mud And Landslides",1996-11-16,1997-01-03,Clearwater (County),11,48,1996,West,Autumn,3,2,4
1152,WA,Severe Ice Storm,Severe Ice Storm,1996-11-19,1996-12-04,Spokane (County),11,15,1996,West,Autumn,3,1,4
1151,MN,Severe Storm(s),Severe Ice Storm,1996-11-14,1996-11-30,Freeborn (County),11,16,1996,Midwest,Autumn,3,1,3
1156,SD,Severe Storm(s),Severe Winter Storms And Blizzard Conditions,1997-01-03,1997-01-31,Bon Homme (County),1,28,1997,Midwest,Winter,4,1,3
1157,ND,Severe Storm(s),Severe Winter Storms And Blizzard Conditions,1997-01-03,1997-01-31,Barnes (County),1,28,1997,Midwest,Winter,4,2,3
1158,MN,Severe Storm(s),Severe Winter Storms,1997-01-03,1997-02-03,Martin (County),1,31,1997,Midwest,Winter,4,1,3
1159,WA,Severe Storm(s),"Severe Winter Storms, Land & Muds Slides,Flooding",1996-12-26,1997-02-10,Clark (County),12,46,1996,West,Winter,4,2,4
1160,OR,Severe Storm(s),"Severe Winter Storms, Land And Mudslides, Flooding",1996-12-25,1997-01-06,Jackson (County),12,12,1996,West,Winter,4,2,4
1161,SD,Severe Storm(s),Severe Winter Storm,1996-11-13,1996-11-26,Harding (County),11,13,1996,Midwest,Autumn,3,1,3
1162,AR,Severe Storm(s),Severe Storms And Tornadoes,1997-03-01,1997-03-04,Lincoln (County),3,3,1997,Southeast,Spring,1,1,2
1163,KY,Severe Storm(s),"Severe Storm, Flooding, And Tornadoes",1997-03-01,1997-03-31,Calloway (County),3,30,1997,Southeast,Spring,1,1,2
1164,OH,Severe Storm(s),Severe Storms And Flooding,1997-02-28,1997-03-17,Morgan (County),2,17,1997,Midwest,Winter,4,1,3
1165,IN,Severe Storm(s),Severe Storms And Flooding,1997-02-28,1997-03-31,Harrison (County),2,31,1997,Midwest,Winter,4,2,3
1168,WV,Flood,"Heavy & Wind Driven Rain, High Winds,Flooding,Slides",1997-02-28,1997-03-15,Putnam (County),2,15,1997,Southeast,Winter,4,2,2
1167,TN,Tornado,"Heavy Rains, Tornadoes, Flooding, Hail, High Winds",1997-02-28,1997-03-24,Benton (County),2,24,1997,Southeast,Winter,4,2,2
1169,LA,Severe Storm(s),Severe  Winter Storm,1997-01-12,1997-01-17,Calcasieu (Parish),1,5,1997,Southeast,Winter,4,1,2
1170,IL,Severe Storm(s),Severe Storms And Flooding,1997-03-01,1997-04-01,Gallatin (County),3,31,1997,Midwest,Spring,1,2,3
1172,WA,Flood,"Heavy Rains, Snow Melt, Flooding, Land & Mud Slides",1997-03-18,1997-03-28,King (County),3,10,1997,West,Spring,1,2,4
1171,TN,Severe Storm(s),Severe Storms And Tornadoes,1997-03-28,1997-03-29,Sequatchie (County),3,1,1997,Southeast,Spring,1,2,2
1174,ND,Flood,"Severe Flooding,Severe Winter Storms, Snowmelt, Spring Rains",1997-02-28,1997-05-24,Bottineau (County),2,85,1997,Midwest,Winter,4,2,3
1173,SD,Flood,"Severe Flooding, Sever Winter Storms,Heavy Rains High Winds",1997-02-03,1997-05-24,Butte (County),2,110,1997,Midwest,Winter,4,2,3
1175,MN,Flood,"Severe Flooding, High Winds,Severe Storms",1997-03-21,1997-05-24,Benton (County),3,64,1997,Midwest,Spring,1,2,3
1176,AR,Flood,"Flooding, Severe Storms",1997-04-04,1997-04-21,Lafayette (County),4,17,1997,Southeast,Spring,1,1,2
1178,MS,Flood,Flooding,1997-02-28,1997-04-21,Tunica (County),2,52,1997,Southeast,Winter,4,1,2
1177,ID,Severe Storm(s),"Severe Storms, Snowmelt, Land/Mud Slides, Flooding",1997-03-14,1997-06-30,Custer (County),3,108,1997,West,Spring,1,1,4
1180,WI,Severe Storm(s),Severe Storms And Flooding,1997-06-21,1997-06-23,Washington (County),6,2,1997,Midwest,Summer,2,2,3
1179,TX,Flood,Severe Storms And Flooding,1997-06-21,1997-07-15,Kerr (County),6,24,1997,Southwest,Summer,2,1,5
1181,MI,Severe Storm(s),"Severe Storms, Tornadoes,And Flooding",1997-07-02,1997-07-02,Saginaw (County),7,1,1997,Midwest,Summer,2,1,3
1182,WA,Flood,"Fl00ding, Snow Melt",1997-04-10,1997-06-30,Pend Oreille (County),4,81,1997,West,Spring,1,1,4
1184,VT,Flood,"Excessive Rainfall, High Winds, And Flooding",1997-07-15,1997-07-17,Franklin (County),7,2,1997,Northeast,Summer,2,2,1
1183,MT,Severe Storm(s),"Severe Storms,Ice Jams, Snow Melt, Flooding",1997-03-01,1997-08-06,Madison (County),3,158,1997,West,Spring,1,1,4
1185,AL,Severe Storm(s),"Severe Storms, Flooding,High Winds, Assoc With Hurr Danny",1997-07-17,1997-07-22,Choctaw (County),7,5,1997,Southeast,Summer,2,2,2
1186,CO,Flood,"Severe Storms, Heavy Rain, Flash Floods, Flooding, Mudslides",1997-07-28,1997-08-12,Crowley (County),7,15,1997,West,Summer,2,1,4
1187,MN,Severe Storm(s),"Severe Storms, Tornadoes, High Winds, Flooding",1997-06-28,1997-07-27,Isanti (County),6,29,1997,Midwest,Summer,2,2,3
1188,IL,Severe Storm(s),Severe Storms And Flooding,1997-08-16,1997-08-17,Cook (County),8,1,1997,Midwest,Summer,2,1,3
1189,NJ,Severe Storm(s),Severe Storms And Flooding,1997-08-20,1997-08-21,Atlantic (County),8,1,1997,Northeast,Summer,2,2,1
1190,NE,Severe Storm(s),"Severe Snow Storms, Rain, And Strong Winds",1997-10-24,1997-10-26,Buffalo (County),10,2,1997,Midwest,Autumn,3,1,3
1191,IA,Snow,Severe Snowstorms,1997-10-26,1997-10-28,Mahaska (County),10,2,1997,Midwest,Autumn,3,1,3
1195,FL,Severe Storm(s),"Severe Storms, High Winds, Tornadoes, And Flooding",1997-12-25,1998-04-24,Madison (County),12,120,1997,Southeast,Winter,4,1,2
1196,NY,Snow,Severe Storms And Flooding,1998-01-05,1998-01-17,Essex (County),1,12,1998,Northeast,Winter,4,2,1
1198,ME,Severe Storm(s),"Severe Ice Storms, Rains And High Winds",1998-01-05,1998-01-25,Franklin (County),1,20,1998,Northeast,Winter,4,2,1
1197,TN,Severe Storm(s),Severe Storms And Flooding,1998-01-06,1998-02-12,Cannon (County),1,37,1998,Southeast,Winter,4,1,2
1201,VT,Severe Storm(s),"Severe Ice Storms, Rain, High Winds And Flooding",1998-01-06,1998-01-16,Orange (County),1,10,1998,Northeast,Winter,4,2,1
1200,NC,Severe Storm(s),Severe Storms And Flooding,1998-01-07,1998-02-12,Robeson (County),1,36,1998,Southeast,Winter,4,2,2
1199,NH,Severe Storm(s),"Severe Ice Storm, Rains And High Winds",1998-01-07,1998-01-25,Strafford (County),1,18,1998,Northeast,Winter,4,2,1
1202,NM,Severe Storm(s),Severe Winter Storm,1997-12-22,1997-12-25,Guadalupe (County),12,3,1997,Southwest,Winter,4,1,5
1203,CA,Severe Storm(s),Severe Winter Storms And Flooding,1998-02-02,1998-04-30,Contra Costa (County),2,87,1998,West,Winter,4,2,4
1204,FL,Severe Storm(s),"Severe Storms, High Winds, Tornadoes, And Flooding",1998-02-02,1998-02-04,Monroe (County),2,2,1998,Southeast,Winter,4,2,2
1205,DE,Severe Storm(s),"Severe Winter Storms, High Winds, And Flooding",1998-01-28,1998-02-06,Sussex (County),1,9,1998,Northeast,Winter,4,1,1
1207,KY,Severe Storm(s),Severe Winter Storm,1998-02-04,1998-02-06,Estill (County),2,2,1998,Southeast,Winter,4,1,2
1206,NJ,Coastal Storm,"Severe Winter Coastal Storm, High Winds, Flooding",1998-02-04,1998-02-08,Ocean (County),2,4,1998,Northeast,Winter,4,2,1
1208,AL,Severe Storm(s),Severe Storms And Flooding,1998-03-07,1998-03-21,Conecuh (County),3,14,1998,Southeast,Spring,1,2,2
1209,GA,Severe Storm(s),Severe Storms And Flooding,1998-02-14,1998-05-11,Bulloch (County),2,86,1998,Southeast,Winter,4,1,2
1211,NC,Severe Storm(s),"Severe Storms Tornadoes, And Flooding",1998-03-20,1998-04-01,Nash (County),3,12,1998,Southeast,Spring,1,1,2
1212,MN,Tornado,Tornadoes And Severe Storms,1998-03-29,1998-03-29,Blue Earth (County),3,1,1998,Midwest,Spring,1,1,3
1214,AL,Severe Storm(s),Severe Storms And Tornadoes,1998-04-08,1998-04-20,Walker (County),4,12,1998,Southeast,Spring,1,1,2
1215,TN,Severe Storm(s),"Severe Storms, Tornadoes And Flooding",1998-04-16,1998-05-18,Blount (County),4,32,1998,Southeast,Spring,1,1,2
1216,KY,Severe Storm(s),"Severe Storms, Tornadoes,And Flooding",1998-04-16,1998-05-10,Barren (County),4,24,1998,Southeast,Spring,1,2,2
1217,IN,Severe Storm(s),Severe Winter Storm,1998-03-09,1998-03-12,Newton (County),3,3,1998,Midwest,Spring,1,1,3
1218,SD,Flood,"Flooding, Severe Storms, Tornadoes",1998-04-25,1998-06-22,McCook (County),4,58,1998,Midwest,Spring,1,2,3
1219,PA,Severe Storm(s),"Severe Storms, Tornadoes,And Flooding",1998-05-31,1998-06-02,Somerset (County),5,2,1998,Northeast,Spring,1,2,1
1221,OR,Flood,Flooding,1998-05-28,1998-06-03,Crook (County),5,6,1998,West,Spring,1,2,4
1220,ND,Flood,"Flooding, Ground Saturation,Severe Storms",1998-03-02,1998-07-18,Cass (County),3,138,1998,Midwest,Spring,1,2,3
1222,NY,Severe Storm(s),Severe Storms And Tornadoes,1998-05-31,1998-06-02,Chenango (County),5,2,1998,Northeast,Spring,1,1,1
1223,FL,Fire,Extreme Fire Hazard,1998-05-25,1998-07-22,Dade (County),5,58,1998,Southeast,Spring,1,1,2
1225,MN,Tornado,"Severe Storms, Straight Line Winds, And Tornadoes",1998-05-15,1998-06-28,Jackson (County),5,44,1998,Midwest,Spring,1,1,3
1224,MA,Flood,Heavy Rains And Flooding,1998-06-13,1998-07-06,Suffolk (County),6,23,1998,Northeast,Summer,2,1,1
1226,MI,Severe Storm(s),Severe Storms,1998-05-29,1998-05-31,Ottawa (County),5,2,1998,Midwest,Spring,1,1,3
1228,VT,Severe Storm(s),Severe Storms And Flooding,1998-06-17,1998-08-17,Addison (County),6,61,1998,Northeast,Summer,2,2,1
1227,OH,Severe Storm(s),"Severe Storms, Flooding, And Tornadoes",1998-06-24,1998-07-05,Holmes (County),6,11,1998,Midwest,Summer,2,1,3
1229,WV,Severe Storm(s),Severe Storms And Flooding,1998-06-26,1998-07-27,Braxton (County),6,31,1998,Southeast,Summer,2,2,2
1232,ME,Severe Storm(s),Severe Storms And Flooding,1998-06-13,1998-07-01,Kennebec (County),6,18,1998,Northeast,Summer,2,1,1
1230,IA,Flood,"Severe Storms, Tornadoes And Flooding",1998-06-13,1998-07-15,Carroll (County),6,32,1998,Midwest,Summer,2,1,3
1231,NH,Severe Storm(s),Severe Storms And Flooding,1998-06-12,1998-07-02,Carroll (County),6,20,1998,Northeast,Summer,2,2,1
1233,NY,Severe Storm(s),Severe Storms And Flooding,1998-06-25,1998-07-10,Steuben (County),6,15,1998,Northeast,Summer,2,1,1
1234,IN,Severe Storm(s),"Severe Storms And Tornadoes, And Flooding",1998-06-11,1998-07-07,Crawford (County),6,26,1998,Midwest,Summer,2,1,3
1235,TN,Severe Storm(s),Severe Storms And Flooding,1998-07-13,1998-07-28,Lawrence (County),7,15,1998,Southeast,Summer,2,2,2
1236,WI,Severe Storm(s),"Severe Storms,Straigh Line Winds, Tornadoes,Rain,And Floodi",1998-06-18,1998-06-30,Crawford (County),6,12,1998,Midwest,Summer,2,1,3
1237,MI,Severe Storm(s),Severe Storms And High Winds,1998-07-21,1998-07-22,Macomb (County),7,1,1998,Midwest,Summer,2,1,3
1238,WI,Severe Storm(s),Severe Storms And Flooding,1998-08-05,1998-08-15,Rock (County),8,10,1998,Midwest,Summer,2,2,3
1239,TX,Severe Storm(s),Tropical Storm Charley,1998-08-22,1998-08-31,Bandera (County),8,9,1998,Southwest,Summer,2,1,5
1240,NC,Hurricane,Hurricane Bonnie,1998-08-20,1998-09-01,Greene (County),8,12,1998,Southeast,Summer,2,1,2
1241,FL,Hurricane,Hurricane Earl,1998-09-03,1998-09-03,Dixie (County),9,1,1998,Southeast,Autumn,3,2,2
1242,VA,Hurricane,Hurricane Bonnie,1998-08-25,1998-09-01,Virginia Beach,8,7,1998,Southeast,Summer,2,3,2
1243,SC,Hurricane,Hurricane Bonnie,1998-08-25,1998-09-01,Horry (County),8,7,1998,Southeast,Summer,2,2,2
1244,NY,Severe Storm(s),"Ny - Severe Wx, Sept 7, 1998",1998-09-07,1998-09-07,Orleans (County),9,1,1998,Northeast,Autumn,3,1,1
1246,LA,Hurricane,Hurricane Georges/Ts Frances,1998-09-09,1998-10-04,St. Martin (Parish),9,25,1998,Southeast,Autumn,3,1,2
1245,TX,Severe Storm(s),Hurricane Georges - Texas,1998-09-09,1998-10-05,Harris (County),9,26,1998,Southwest,Autumn,3,2,5
1249,FL,Hurricane,Hurricane Georges,1998-09-25,1998-10-07,Bay (County),9,12,1998,Southeast,Autumn,3,2,2
1250,AL,Hurricane,Hurricane Georges - 18 Sep 98,1998-09-25,1998-10-06,Butler (County),9,11,1998,Southeast,Autumn,3,2,2
1251,MS,Hurricane,Hurricane Georges,1998-09-25,1998-10-05,Pike (County),9,10,1998,Southeast,Autumn,3,2,2
1252,WA,Severe Storm(s),Wa Storms & Flooding 5/26/98,1998-05-26,1998-05-29,Stevens (County),5,3,1998,West,Spring,1,2,4
1254,KS,Severe Storm(s),"Severe Storms, Flooding And Tornadoes",1998-10-01,1998-10-08,Linn (County),10,7,1998,Midwest,Autumn,3,1,3
1253,MO,Severe Storm(s),"Severe Storms, Flooding And Tornadoes",1998-10-04,1998-10-11,Moniteau (County),10,7,1998,Midwest,Autumn,3,1,3
1255,WA,Mud/Landslide,Wa Landslide 3/6/98,1998-03-06,1998-11-19,Cowlitz (County),3,258,1998,West,Spring,1,3,4
1256,MO,Severe Storm(s),Severe Storms And Flooding,1998-07-10,1998-07-31,Jackson (County),7,21,1998,Midwest,Summer,2,2,3
1257,TX,Flood,Tx-Flooding 10/18/98,1998-10-17,1998-11-15,Jim Wells (County),10,29,1998,Southwest,Autumn,3,2,5
1258,KS,Severe Storm(s),Ks-Flooding  10/31/98,1998-10-30,1998-11-15,Douglas (County),10,16,1998,Midwest,Autumn,3,1,3
1259,FL,Severe Storm(s),Tropical Storm Mitch,1998-11-04,1998-11-05,Palm Beach (County),11,1,1998,Southeast,Autumn,3,1,2
1261,AL,Severe Storm(s),Riv-Severe Winter Wx 12/23/98,1998-12-23,1998-12-29,Colbert (County),12,6,1998,Southeast,Winter,4,2,2
1260,TN,Severe Storm(s),Severe Winter Storm,1998-12-23,1998-12-29,Campbell (County),12,6,1998,Southeast,Winter,4,2,2
1262,TN,Severe Storm(s),"Severe Storms, Tornadoes And High Winds",1999-01-17,1999-02-01,Decatur (County),1,15,1999,Southeast,Winter,4,3,2
1264,LA,Severe Storm(s),Severe Ice Storm,1998-12-22,1998-12-28,De Soto (Parish),12,6,1998,Southeast,Winter,4,2,2
1263,ME,Severe Storm(s),Me - Flooding 10/16/98,1998-10-08,1998-10-11,Cumberland (County),10,3,1998,Northeast,Autumn,3,2,1
1266,AR,Severe Storm(s),Ar Severe Weather 1-21-99,1999-01-21,1999-01-31,Randolph (County),1,10,1999,Southeast,Winter,4,1,2
1265,MS,Severe Ice Storm,"Severe Winter Storms, Ice And Freezing Rain",1998-12-23,1998-12-26,Kemper (County),12,3,1998,Southeast,Winter,4,2,2
1267,CA,Freezing,Ca-Citrus Crop Damage 2/2/99,1998-12-20,1998-12-28,Tulare (County),12,8,1998,West,Winter,4,2,4
1268,WY,Severe Ice Storm,Wy - Winter Storm  10/5/98,1998-10-05,1998-10-09,Niobrara (County),10,4,1998,West,Autumn,3,2,4
1269,LA,Severe Storm(s),"Severe Storms, Tornadoes And Flooding",1999-04-03,1999-04-07,Bossier (Parish),4,4,1999,Southeast,Spring,1,3,2
1270,MO,Severe Storm(s),Severe Storms And Flooding,1999-04-03,1999-04-14,Macon (County),4,11,1999,Midwest,Spring,1,1,3
1271,GA,Severe Storm(s),Severe Storms And Tornadoes,1999-04-15,1999-04-15,Candler (County),4,1,1999,Southeast,Spring,1,1,2
1273,KS,Tornado,Severe Storms And Tornadoes,1999-05-03,1999-05-06,Sedgwick (County),5,3,1999,Midwest,Spring,1,3,3
1272,OK,Tornado,"Ok, Tornadoes 5/3/99",1999-05-03,1999-05-04,Payne (County),5,1,1999,Southwest,Spring,1,2,5
1274,TX,Tornado,"Tx, Tornado 5/4/99",1999-05-04,1999-05-04,Titus (County),5,1,1999,Southwest,Spring,1,1,5
1275,TN,Severe Storm(s),"Severe Storms, Tornadoes And Flooding",1999-05-05,1999-05-19,Chester (County),5,14,1999,Southeast,Spring,1,3,2
1276,CO,Severe Storm(s),Co-Flooding 4/30/99,1999-04-29,1999-05-19,Crowley (County),4,20,1999,West,Spring,1,1,4
1277,IA,Severe Storm(s),"Severe Storms, Flooding, And Tornadoes",1999-05-16,1999-05-29,Buchanan (County),5,13,1999,Midwest,Spring,1,3,3
1278,IL,Severe Storm(s),Severe Storms And Flash Flooding,1999-05-16,1999-05-17,Jo Daviess (County),5,1,1999,Midwest,Spring,1,3,3
1279,ND,Flood,"Severe Storms, Flooding, Snow, Ice, Ground Saturation, Lanslides, Mudslides, And Tor",1999-03-01,1999-07-19,Standing Rock Sioux Tribe of North & South Dakota,3,140,1999,Midwest,Spring,1,2,3
1280,SD,Tornado,"Severe Storms, Tornadoes And Flooding",1999-06-04,1999-06-18,Oglala Sioux Tribe of the Pine Ridge Reservation,6,14,1999,Midwest,Summer,2,3,3
1281,NV,Severe Storm(s),Nv - Flash Flooding 7/8/99,1999-07-08,1999-07-16,Clark (County),7,8,1999,West,Summer,2,3,4
1282,IA,Severe Storm(s),Severe Storms And Flooding,1999-07-02,1999-08-10,Buchanan (County),7,39,1999,Midwest,Summer,2,2,3
1283,MN,Severe Storm(s),"Severe Storms, Winds, And Flooding",1999-07-04,1999-08-02,Hubbard (County),7,29,1999,Midwest,Summer,2,2,3
1284,WI,Flood,Wi-Flood-07/20/99,1999-07-04,1999-07-31,Iron (County),7,27,1999,Midwest,Summer,2,2,3
1285,UT,Tornado,"Tornado, Severe Thunderstorms, And Hail",1999-08-11,1999-08-11,Salt Lake (County),8,1,1999,West,Summer,2,3,4
1286,NE,Severe Storm(s),Severe Storms And Flooding,1999-08-06,1999-08-09,Washington (County),8,3,1999,Midwest,Summer,2,3,3
1287,TX,Hurricane,Hurricane Bret,1999-08-21,1999-08-26,Jim Hogg (County),8,5,1999,Southwest,Summer,2,1,5
1288,MN,Severe Ice Storm,Severe Ice Storm And Flooding,1999-03-01,1999-05-30,Red Lake (County),3,90,1999,Midwest,Spring,1,2,3
1289,PA,Severe Storm(s),Pa - Flooding 8/20/99,1999-08-20,1999-08-21,McKean (County),8,1,1999,Northeast,Summer,2,3,1
1290,VA,Hurricane,Virginia Tropical Storm Dennis 08/27/99,1999-08-27,1999-09-13,Hampton,8,17,1999,Southeast,Summer,2,2,2
1291,NC,Hurricane,Hurricane Dennis,1999-08-29,1999-09-11,Dare (County),8,13,1999,Southeast,Summer,2,2,2
1292,NC,Hurricane,Hurricane Floyd Major Disaster Declarations,1999-09-15,1999-11-02,Camden (County),9,48,1999,Southeast,Autumn,3,3,2
1295,NJ,Hurricane,Hurricane Floyd Major Disaster Declarations,1999-09-16,1999-09-18,Passaic (County),9,2,1999,Northeast,Autumn,3,3,1
1294,PA,Hurricane,Hurricane Floyd Major Disaster Declarations,1999-09-16,1999-09-29,Delaware (County),9,13,1999,Northeast,Autumn,3,3,1
1293,VA,Hurricane,Hurricane Floyd Major Disaster Declarations,1999-09-13,1999-09-26,Lunenburg (County),9,13,1999,Southeast,Autumn,3,1,2
1296,NY,Hurricane,Hurricane Floyd Major Disaster Declarations,1999-09-16,1999-09-18,Rensselaer (County),9,2,1999,Northeast,Autumn,3,2,1
1299,SC,Hurricane,Hurricane Floyd Major Disaster Declarations,1999-09-14,1999-09-30,Chesterfield (County),9,16,1999,Southeast,Autumn,3,1,2
1297,DE,Hurricane,Hurricane Floyd Major Disaster Declarations,1999-09-15,1999-09-17,New Castle (County),9,2,1999,Northeast,Autumn,3,3,1
1301,NM,Severe Storm(s),"Severe Ice Storms, Flooding And Heavy Rains",1999-07-16,1999-08-07,Mescalero Tribe,7,22,1999,Southwest,Summer,2,2,5
1300,FL,Hurricane,Hurricane Floyd Major Disaster Declarations,1999-09-13,1999-09-25,Indian River (County),9,12,1999,Southeast,Autumn,3,2,2
1298,PA,Flood,Tropical Depression Dennis Pa,1999-09-06,1999-09-07,Lycoming (County),9,1,1999,Northeast,Autumn,3,2,1
1302,CT,Hurricane,Hurricane Floyd,1999-09-16,1999-09-21,"Litchfield (County)(in (P)MSA 1170,1930,3280,8880)",9,5,1999,Northeast,Autumn,3,3,1
1303,MD,Hurricane,Hurricane Floyd Major Disaster Declarations,1999-09-16,1999-09-20,Charles (County),9,4,1999,Northeast,Autumn,3,3,1
1304,AZ,Severe Storm(s),"Severe Storms, Flooding, High Winds",1999-09-14,1999-09-23,Cochise (County),9,9,1999,Southwest,Autumn,3,2,5
1305,NH,Hurricane,Tropical Storm Floyd,1999-09-16,1999-09-18,Cheshire (County),9,2,1999,Northeast,Autumn,3,2,1
1306,FL,Hurricane,Fl-Hurricane Irene-Dr-Req,1999-10-14,1999-10-24,Flagler (County),10,10,1999,Southeast,Autumn,3,1,2
1307,VT,Severe Storm(s),Tropical Storm Floyd,1999-09-16,1999-09-21,Orange (County),9,5,1999,Northeast,Autumn,3,2,1
1308,ME,Hurricane,Hurricane Floyd Major Disaster Declarations,1999-09-16,1999-09-19,Cumberland (County),9,3,1999,Northeast,Autumn,3,2,1
1310,KY,Tornado,"Tornadoes, Severe Storms, Torrential Rains, And Flash Flooding",2000-01-03,2000-01-04,Breckinridge (County),1,1,2000,Southeast,Winter,4,1,2
1311,GA,Severe Storm(s),Severe Winter Storm,2000-01-22,2000-02-01,Carroll (County),1,10,2000,Southeast,Winter,4,2,2
1313,SC,Severe Storm(s),Severe Winter Storm,2000-01-22,2000-02-01,Edgefield (County),1,10,2000,Southeast,Winter,4,1,2
1312,NC,Severe Storm(s),Severe Winter Storm,2000-01-24,2000-02-01,Durham (County),1,8,2000,Southeast,Winter,4,2,2
1315,GA,Severe Storm(s),Severe Storms/Tornados,2000-02-14,2000-02-14,Colquitt (County),2,1,2000,Southeast,Winter,4,3,2
